Medlemsnummer,Postnummer,Postort,Land
3214832,122 37,Enskede,Sverige
3360872,122 37,Enskede,Sverige
3248791,122 38,Enskede,Sverige
3382360,122 38,Enskede,Sverige
3437342,122 39,Enskede,Sverige
3334798,122 39,Enskede,Sverige
3403100,122 40,Enskede,Sverige
3335912,122 41,Enskede,Sverige
3194647,122 49,Enskede,Sverige
3313842,122 64,Enskede,Sverige
3369656,122 64,Enskede,Sverige
3377080,122 66,Enskede,Sverige
3358845,123 42,Farsta,Sverige
3311683,123 43,Farsta,Sverige
3257580,123 45,Farsta,Sverige
3391600,123 46,Farsta,Sverige
3393122,123 52,Farsta,Sverige
3356079,123 57,Farsta,Sverige
3401468,123 61,Farsta,Sverige
3350390,123 61,Farsta,Sverige
3331713,124 32,Bandhagen,Sverige
3331712,124 32,Bandhagen,Sverige
3404756,124 32,Bandhagen,Sverige
3404754,124 32,Bandhagen,Sverige
3250766,124 57,Bandhagen,Sverige
3352808,125 32,Älvsjö,Sverige
3310328,125 33,Älvsjö,Sverige
3351076,125 33,Älvsjö,Sverige
3416458,125 33,Älvsjö,Sverige
3381212,125 33,Älvsjö,Sverige
3363765,125 40,Älvsjö,Sverige
3363766,125 40,Älvsjö,Sverige
3371656,125 40,Älvsjö,Sverige
3317438,125 40,Älvsjö,Sverige
3326754,125 41,Älvsjö,Sverige
3326731,125 41,Älvsjö,Sverige
3315956,125 41,Älvsjö,Sverige
3356955,125 43,Älvsjö,Sverige
3472450,125 44,Älvsjö,Sverige
3349950,125 44,Älvsjö,Sverige
3352852,125 51,Älvsjö,Sverige
3352855,125 51,Älvsjö,Sverige
3352786,125 51,Älvsjö,Sverige
3345956,125 52,Älvsjö,Sverige
3324201,125 52,Älvsjö,Sverige
3279594,125 52,Älvsjö,Sverige
3325403,125 52,Älvsjö,Sverige
3311697,125 53,Älvsjö,Sverige
3339034,125 54,Älvsjö,Sverige
3324875,125 55,Älvsjö,Sverige
3325404,125 56,Älvsjö,Sverige
3336077,125 56,Älvsjö,Sverige
3350696,125 56,Älvsjö,Sverige
3325448,125 56,Älvsjö,Sverige
3351775,125 57,Älvsjö,Sverige
3290100,125 58,Älvsjö,Sverige
3353781,125 58,Älvsjö,Sverige
3325385,125 58,Älvsjö,Sverige
3325453,125 58,Älvsjö,Sverige
3361479,125 58,Älvsjö,Sverige
3324869,125 58,Älvsjö,Sverige
3352767,125 59,Älvsjö,Sverige
3377225,125 60,Älvsjö,Sverige
3441174,125 70,Älvsjö,Sverige
3441060,125 70,Älvsjö,Sverige
3345476,125 71,Älvsjö,Sverige
3369106,126 26,Hägersten,Sverige
3373016,126 28,Hägersten,Sverige
3351585,126 29,Hägersten,Sverige
3308397,126 33,Hägersten,Sverige
3305693,126 36,Hägersten,Sverige
3353478,126 36,Hägersten,Sverige
3403213,126 36,Hägersten,Sverige
3339426,126 37,Hägersten,Sverige
3346917,126 41,Hägersten,Sverige
3251453,126 42,Hägersten,Sverige
3369428,126 48,Hägersten,Sverige
3217340,126 49,Hägersten,Sverige
3336113,126 49,Hägersten,Sverige
3155815,126 50,Hägersten,Sverige
3290702,126 51,Hägersten,Sverige
3305978,126 51,Hägersten,Sverige
3001660,126 51,Hägersten,Sverige
3003233,126 51,Hägersten,Sverige
3256925,126 51,Hägersten,Sverige
3320570,126 52,Hägersten,Sverige
3380609,126 52,Hägersten,Sverige
3338542,126 52,Hägersten,Sverige
3356377,126 52,Hägersten,Sverige
3406345,126 52,Hägersten,Sverige
3333117,126 53,Hägersten,Sverige
3308846,126 53,Hägersten,Sverige
3308712,126 53,Hägersten,Sverige
3339114,126 53,Hägersten,Sverige
3336123,126 54,Hägersten,Sverige
3348560,126 54,Hägersten,Sverige
3366426,126 54,Hägersten,Sverige
3362325,126 54,Hägersten,Sverige
3209524,126 55,Hägersten,Sverige
3331943,126 55,Hägersten,Sverige
3389132,127 30,Skärholmen,Sverige
3353824,127 30,Skärholmen,Sverige
3141943,127 32,Skärholmen,Sverige
3037118,127 34,Skärholmen,Sverige
3384817,127 37,skärholmen,Sverige
3390752,127 39,Skärholmen,Sverige
3355908,127 41,Skärholmen,Sverige
3322409,127 61,Skärholmen,Sverige
3162041,127 61,Skärholmen,Sverige
3329490,127 61,Skärholmen,Sverige
3367778,127 61,Skärholmen,Sverige
3333236,127 61,Skärholmen,Sverige
3361663,128 34,Skarpnäck,Sverige
3360139,128 38,Skarpnäck,Sverige
3373009,128 41,Bagarmossen,Sverige
3358708,128 43,Bagarmossen,Sverige
3367625,128 43,Bagarmossen,Sverige
3369790,128 44,Bagarmossen,Sverige
3349159,128 44,Bagarmossen,Sverige
3347200,128 45,Bagarmossen,Sverige
3347147,128 45,Bagarmossen,Sverige
3002243,128 46,Bagarmossen,Sverige
3348448,128 46,Bagarmossen,Sverige
3341006,128 46,Bagarmossen,Sverige
3369885,128 46,Bagarmossen,Sverige
3405021,128 47,Bagarmossen,Sverige
3369116,128 47,Bagarmossen,Sverige
3448988,128 62,Sköndal,Sverige
3450118,128 62,Sköndal,Sverige
3332088,128 62,Sköndal,Sverige
3345138,128 62,Sköndal,Sverige
3360687,128 63,Sköndal,Sverige
3337559,128 63,Sköndal,Sverige
3380169,128 63,Sköndal,Sverige
3327814,128 63,Sköndal,Sverige
3216367,128 66,Sköndal,Sverige
3358173,128 67,Sköndal,Sverige
3358212,128 67,Sköndal,Sverige
3344455,128 67,Sköndal,Sverige
3360782,128 67,Sköndal,Sverige
3345743,128 67,Sköndal,Sverige
3345126,128 67,Sköndal,Sverige
3422024,128 68,Sköndal,Sverige
3422023,128 68,Sköndal,Sverige
3327811,128 68,Sköndal,Sverige
3341744,128 68,Sköndal,Sverige
3292276,128 69,Sköndal,Sverige
3339855,129 31,Hägersten,Sverige
3351283,129 35,Hägersten,Sverige
3339940,129 36,Hägersten,Sverige
3306484,129 36,Hägersten,Sverige
3321828,129 36,Hägersten,Sverige
3356920,129 36,Hägersten,Sverige
3365961,129 36,Hägersten,Sverige
3355499,129 37,Hägersten,Sverige
3001356,129 38,Hägersten,Sverige
3358873,129 38,Hägersten,Sverige
3328482,129 40,Hägersten,Sverige
3314831,129 41,Hägersten,Sverige
3338376,129 42,Hägersten,Sverige
3261273,129 42,Hägersten,Sverige
3346860,129 42,Hägersten,Sverige
3346861,129 42,Hägersten,Sverige
3328928,129 43,Hägersten,Sverige
3094087,129 44,Hägersten,Sverige
3281920,129 45,Hägersten,Sverige
3252034,129 46,Hägersten,Sverige
3390232,129 49,Hägersten,Sverige
3321803,129 52,Hägersten,Sverige
3325454,129 52,Hägersten,Sverige
3295479,129 54,Hägersten,Sverige
3389449,129 57,Hägersten,Sverige
3347572,129 57,Hägersten,Sverige
3359874,131 31,Nacka,Sverige
3330594,131 31,Nacka,Sverige
3341261,131 32,Nacka,Sverige
3206252,131 33,Nacka,Sverige
3331737,131 35,Nacka,Sverige
3335824,131 37,Nacka,Sverige
3361989,131 37,Nacka,Sverige
3356116,131 38,Nacka,Sverige
3370835,131 40,Nacka,Sverige
3002600,131 42,Nacka,Sverige
3339778,131 42,Nacka,Sverige
3405146,131 46,Nacka,Sverige
3308783,131 46,Nacka,Sverige
3362096,131 46,Nacka,Sverige
3365969,131 46,Nacka,Sverige
3337639,131 47,Nacka,Sverige
3395433,131 48,Nacka,Sverige
3337228,131 57,Nacka,Sverige
3373307,131 61,Nacka,Sverige
3343012,131 71,Nacka,Sverige
3352913,132 30,Saltsjö-Boo,Sverige
3380217,132 31,Saltsjö-Boo,Sverige
3380216,132 31,Saltsjö-Boo,Sverige
3380214,132 31,Saltsjö-Boo,Sverige
3325556,132 34,Saltsjö-Boo,Sverige
3416072,132 34,Saltsjö-Boo,Sverige
3333698,132 35,Saltsjö-Boo,Sverige
3339275,132 35,Saltsjö-Boo,Sverige
3112753,132 35,Saltsjö-Boo,Sverige
3311114,132 35,Saltsjö-Boo,Sverige
3360107,132 36,Saltsjö-Boo,Sverige
3295882,132 36,Saltsjö-Boo,Sverige
3312894,132 36,Saltsjö-Boo,Sverige
3334420,132 37,Saltsjö-Boo,Sverige
3358760,132 37,Saltsjö-Boo,Sverige
3392030,132 39,Saltsjö-Boo,Sverige
3205792,132 39,Saltsjö-Boo,Sverige
3311125,132 39,Saltsjö-Boo,Sverige
3339169,132 42,Saltsjö-Boo,Sverige
3398810,132 45,Saltsjö-Boo,Sverige
3405630,132 45,Saltsjö-Boo,Sverige
3342457,132 48,Saltsjö-Boo,Sverige
3391680,132 51,Saltsjö-Boo,Sverige
3347810,133 31,Saltsjöbaden,Sverige
3360279,133 32,Saltsjöbaden,Sverige
3142495,133 34,Saltsjöbaden,Sverige
3361651,133 34,Saltsjöbaden,Sverige
3361650,133 36,Saltsjöbaden,Sverige
3360423,133 36,Saltsjöbaden,Sverige
3373523,133 37,Saltsjöbaden,Sverige
3365686,133 38,Saltsjöbaden,Sverige
3346131,133 41,Saltsjöbaden,Sverige
3351369,133 43,Saltsjöbaden,Sverige
3381500,133 44,Saltsjöbaden,Sverige
3234332,133 44,Saltsjöbaden,Sverige
3376645,134 31,Gustavsberg,Sverige
3237397,134 31,Gustavsberg,Sverige
3398596,134 34,Gustavsberg,Sverige
3405420,134 42,Gustavsberg,Sverige
3360515,134 62,Ingarö,Sverige
3460159,134 62,Ingarö,Sverige
3377042,134 62,Ingarö,Sverige
3340280,134 65,Ingarö,Sverige
3300734,135 47,Tyresö,Sverige
3340408,135 47,Tyresö,Sverige
3357518,135 50,Tyresö,Sverige
3271610,135 51,Tyresö,Sverige
3304924,135 51,Tyresö,Sverige
3357285,135 52,Tyresö,Sverige
3356764,135 53,Tyresö,Sverige
3360212,135 53,Tyresö,Sverige
3290897,135 53,Tyresö,Sverige
3303394,135 53,Tyresö,Sverige
3321114,135 54,Tyresö,Sverige
3306526,135 54,Tyresö,Sverige
3307015,135 54,Tyresö,Sverige
3018246,135 54,Tyresö,Sverige
3228452,135 55,Tyresö,Sverige
3304237,135 55,Tyresö,Sverige
3252127,135 55,Tyresö,Sverige
3437381,135 58,Tyresö,Sverige
3402550,135 61,Tyresö,Sverige
3375790,135 62,Tyresö,Sverige
3042030,136 39,Handen,Sverige
3148370,136 42,Handen,Sverige
3221631,136 42,Handen,Sverige
3239696,136 42,Handen,Sverige
3372841,136 47,Haninge,Sverige
3375308,136 49,Vega,Sverige
3408780,136 49,Vega,Sverige
3361336,136 49,Vega,Sverige
3292651,136 64,Haninge,Sverige
3087764,136 68,Vendelsö,Sverige
3073781,136 68,Vendelsö,Sverige
3329355,136 70,Vendelsö,Sverige
3314749,136 71,Vendelsö,Sverige
3358493,136 72,Vendelsö,Sverige
3236352,136 72,Vendelsö,Sverige
3422074,136 73,Vendelsö,Sverige
3400590,136 73,Vendelsö,Sverige
3277616,136 73,Vendelsö,Sverige
3276352,136 73,Vendelsö,Sverige
3359588,136 75,Vendelsö,Sverige
3336748,136 75,Vendelsö,Sverige
3423117,136 75,Vendelsö,Sverige
3314966,137 36,Västerhaninge,Sverige
3361508,137 42,Västerhaninge,Sverige
3400021,137 43,Västerhaninge,Sverige
3311134,137 54,Tungelsta,Sverige
3238195,137 68,Jordbro,Sverige
3354410,138 34,Älta,Sverige
3358957,138 36,Älta,Sverige
3362155,138 37,Älta,Sverige
3288095,138 39,Älta,Sverige
3339164,138 39,Älta,Sverige
3361259,138 40,älta,Sverige
3367402,139 36,Värmdö,Sverige
3406010,139 36,Värmdö,Sverige
3324131,139 36,Värmdö,Sverige
3365637,139 36,Värmdö,Sverige
3358252,141 31,Huddinge,Sverige
3426018,141 32,Huddinge,Sverige
3312273,141 33,Huddinge,Sverige
3294490,141 38,Huddinge,Sverige
3305262,141 38,Huddinge,Sverige
3337232,141 39,Huddinge,Sverige
3320038,141 39,Huddinge,Sverige
3357991,141 39,Huddinge,Sverige
3358047,141 39,Huddinge,Sverige
3311198,141 39,Huddinge,Sverige
3364037,141 39,Huddinge,Sverige
3415319,141 39,Huddinge,Sverige
3351676,141 39,Huddinge,Sverige
3441633,141 40,Huddinge,Sverige
3440957,141 40,Huddinge,Sverige
3417247,141 40,Huddinge,Sverige
3350272,141 40,Huddinge,Sverige
3401731,141 40,Huddinge,Sverige
3347239,141 40,Huddinge,Sverige
3407536,141 41,Huddinge,Sverige
3366574,141 41,Huddinge,Sverige
3487200,141 41,Huddinge,Sverige
3312223,141 41,Huddinge,Sverige
3425127,141 41,Huddinge,Sverige
3125443,141 42,Huddinge,Sverige
3364551,141 42,Huddinge,Sverige
3442762,141 43,Huddinge,Sverige
3169333,141 43,Huddinge,Sverige
3255845,141 43,Huddinge,Sverige
3442756,141 43,Huddinge,Sverige
3356238,141 43,Huddinge,Sverige
3263542,141 43,Huddinge,Sverige
3300571,141 43,Huddinge,Sverige
3307340,141 43,Huddinge,Sverige
3323199,141 43,Huddinge,Sverige
3291865,141 44,Huddinge,Sverige
3455793,141 44,Huddinge,Sverige
3408782,141 44,Huddinge,Sverige
3337491,141 44,Huddinge,Sverige
3300572,141 45,Huddinge,Sverige
3290417,141 68,Huddinge,Sverige
3423146,141 68,Huddinge,Sverige
3345906,141 68,Huddinge,Sverige
3310330,141 68,Huddinge,Sverige
3358836,141 69,Huddinge,Sverige
3377456,141 70,Segeltorp,Sverige
3373695,141 70,Segeltorp,Sverige
3364501,141 71,Segeltorp,Sverige
3353637,141 71,Segeltorp,Sverige
3316609,141 71,Segeltorp,Sverige
3340064,141 71,Segeltorp,Sverige
3326536,141 71,Segeltorp,Sverige
3321285,141 71,Segeltorp,Sverige
3400523,141 72,Segeltorp,Sverige
3408170,141 72,Segeltorp,Sverige
3374409,141 72,Segeltorp,Sverige
3373442,141 73,Segeltorp,Sverige
3326532,141 74,Segeltorp,Sverige
3346921,141 74,Segeltorp,Sverige
3373531,142 42,Skogås,Sverige
3333943,142 42,Skogås,Sverige
3351350,142 42,Skogås,Sverige
3250285,142 66,Trångsund,Sverige
3494183,144 42,Rönninge,Sverige
3494187,144 42,Rönninge,Sverige
3478492,144 44,Rönninge,Sverige
3311445,145 74,Norsborg,Sverige
3316881,146 32,Tullinge,Sverige
3352090,146 36,Tullinge,Sverige
3357924,146 38,Tullinge,Sverige
3312284,146 40,Tullinge,Sverige
3321365,146 46,Tullinge,Sverige
3416024,146 46,Tullinge,Sverige
3368694,146 49,Tullinge,Sverige
3341747,146 52,Tullinge,Sverige
3367574,146 52,Tullinge,Sverige
3360414,146 52,Tullinge,Sverige
3368494,146 53,Tullinge,Sverige
3363516,146 54,Tullinge,Sverige
3332724,146 54,Tullinge,Sverige
3389270,147 33,Tumba,Sverige
3389269,147 33,Tumba,Sverige
3347093,147 34,Tumba,Sverige
3363674,147 35,Tumba,Sverige
3363676,147 63,Uttran,Sverige
3335638,147 63,Uttran,Sverige
3376764,148 31,Ösmo,Sverige
3398408,148 33,Ösmo,Sverige
3332383,148 35,Ösmo,Sverige
3365870,148 40,Segersäng,Sverige
3357800,148 40,Segersäng,Sverige
3392625,148 40,Segersäng,Sverige
3388706,148 43,Ösmo,Sverige
3318846,148 70,Sorunda,Sverige
3328081,148 92,Ösmo,Sverige
3388248,148 92,Ösmo,Sverige
3329109,148 92,Ösmo,Sverige
3366351,148 97,Sorunda,Sverige
3280888,148 97,Sorunda,Sverige
3341870,149 40,Nynäshamn,Sverige
3333382,149 50,Nynäshamn,Sverige
3438871,149 50,Nynäshamn,Sverige
3366290,151 34,Södertälje,Sverige
3366291,151 35,Södertälje,Sverige
3492491,151 35,Södertälje,Sverige
3472670,151 44,Södertälje,Sverige
3297973,151 44,Södertälje,Sverige
3077468,151 44,Södertälje,Sverige
3381515,151 52,Södertälje,Sverige
3493318,152 51,Södertälje,Sverige
3335732,153 95,Järna,Sverige
3345072,155 30,Nykvarn,Sverige
3294631,155 94,Nykvarn,Sverige
3351576,162 53,Vällingby,Sverige
3497703,162 57,Vällingby,Sverige
3373524,162 67,Vällingby,Sverige
3404839,162 68,Vällingby,Sverige
3225827,162 73,Vällingby,Sverige
3238655,163 40,Spånga,Sverige
3333536,163 41,Spånga,Sverige
3291709,163 41,Spånga,Sverige
3333910,163 41,Spånga,Sverige
3332314,163 42,Spånga,Sverige
3292706,163 43,Spånga,Sverige
3089328,163 43,Spånga,Sverige
3299469,163 44,Spånga,Sverige
3185810,163 45,Spånga,Sverige
3185313,163 48,Spånga,Sverige
3353777,163 50,Spånga,Sverige
3317499,163 50,Spånga,Sverige
3298300,163 50,Spånga,Sverige
3291146,163 50,Spånga,Sverige
3321243,163 51,Spånga,Sverige
3285462,163 51,Spånga,Sverige
3306937,163 51,Spånga,Sverige
3342321,163 51,Spånga,Sverige
3204470,163 51,Spånga,Sverige
3317850,163 51,Spånga,Sverige
3322128,163 52,Spånga,Sverige
3179876,163 52,Spånga,Sverige
3213783,163 52,Spånga,Sverige
3294199,163 52,Spånga,Sverige
3336195,163 54,Spånga,Sverige
3277387,163 54,Spånga,Sverige
3297089,163 54,Spånga,Sverige
3424628,163 54,Spånga,Sverige
3338958,163 54,Spånga,Sverige
3302993,163 56,Spånga,Sverige
3337998,163 56,Spånga,Sverige
3327666,163 56,Spånga,Sverige
3303318,163 56,Spånga,Sverige
3306616,163 62,Spånga,Sverige
3403152,164 36,Kista,Sverige
3310516,164 45,Kista,Sverige
3301404,164 45,Kista,Sverige
3323367,164 45,Kista,Sverige
3344575,164 45,Kista,Sverige
3177598,164 47,Kista,Sverige
3360603,164 47,Kista,Sverige
3360602,164 47,Kista,Sverige
3341561,164 48,Kista,Sverige
3309049,165 62,Hässelby,Sverige
3292449,165 65,Hässelby,Sverige
3372759,165 66,Hässelby,Sverige
3376607,165 66,Hässelby,Sverige
3345326,165 74,Hässelby,Sverige
3357593,165 77,Hässelby,Sverige
3357145,167 33,Bromma,Sverige
3334379,167 33,Bromma,Sverige
3308345,167 39,Bromma,Sverige
3356106,167 39,Bromma,Sverige
3352231,167 40,Bromma,Sverige
3316981,167 53,Bromma,Sverige
3342148,167 62,Bromma,Sverige
3333665,167 65,Bromma,Sverige
3194443,167 71,Bromma,Sverige
3340393,167 72,Bromma,Sverige
3217837,167 75,Bromma,Sverige
3263673,168 33,Bromma,Sverige
3277556,168 33,Bromma,Sverige
3365037,168 39,Bromma,Sverige
3390571,168 39,Bromma,Sverige
3351173,168 39,Bromma,Sverige
3289749,168 39,Bromma,Sverige
3303632,168 39,Bromma,Sverige
3154947,168 40,Bromma,Sverige
3357967,168 41,Bromma,Sverige
3337808,168 41,Bromma,Sverige
3310462,168 50,Bromma,Sverige
3333198,168 50,Bromma,Sverige
3321027,168 50,Bromma,Sverige
3330117,168 51,Bromma,Sverige
3264312,168 51,Bromma,Sverige
3374504,168 51,Bromma,Sverige
3330951,168 52,Bromma,Sverige
3321009,168 52,Bromma,Sverige
3390504,168 53,Bromma,Sverige
3437821,168 53,Bromma,Sverige
3308898,168 53,Bromma,Sverige
3332486,168 53,Bromma,Sverige
3282813,168 54,Bromma,Sverige
3302123,168 54,Bromma,Sverige
3316754,168 54,Bromma,Sverige
3260784,168 56,Bromma,Sverige
3307054,168 56,Bromma,Sverige
3323826,168 58,Bromma,Sverige
3303860,168 59,Bromma,Sverige
3343016,168 60,Bromma,Sverige
3288063,168 61,Bromma,Sverige
3321970,168 62,Bromma,Sverige
3276366,168 62,Bromma,Sverige
3327664,168 63,Bromma,Sverige
3340127,168 64,Bromma,Sverige
3287238,168 66,Bromma,Sverige
3359725,168 70,Bromma,Sverige
3306161,168 71,Bromma,Sverige
3351698,168 72,Bromma,Sverige
3343860,168 72,Bromma,Sverige
3343935,168 72,Bromma,Sverige
3321360,168 72,Bromma,Sverige
3275447,168 75,Bromma,Sverige
3336277,169 30,Solna,Sverige
3109109,169 32,Solna,Sverige
3365459,169 58,Solna,Sverige
3331729,170 62,Solna,Sverige
3216200,170 62,Solna,Sverige
3374442,170 62,Solna,Sverige
3323272,170 62,Solna,Sverige
3253334,170 62,Solna,Sverige
3371823,170 63,Solna,Sverige
3343729,170 66,Solna,Sverige
3344234,170 69,Solna,Sverige
3268419,170 70,Solna,Sverige
3384513,170 71,Solna,Sverige
3375828,170 71,Solna,Sverige
3405106,170 72,Solna,Sverige
3352189,170 73,Solna,Sverige
3295674,170 74,Solna,Sverige
3342889,170 74,Solna,Sverige
3456915,170 75,Solna,Sverige
3361240,170 76,Solna,Sverige
3370500,170 77,Solna,Sverige
3340104,170 78,Solna,Sverige
3341466,170 79,Solna,Sverige
3401045,171 49,Solna,Sverige
3233669,171 63,Solna,Sverige
3138043,172 31,Sundbyberg,Sverige
3359876,172 37,Sundbyberg,Sverige
3250138,172 37,Sundbyberg,Sverige
3368952,172 37,Sundbyberg,Sverige
3196356,172 39,Sundbyberg,Sverige
3346114,172 66,Sundbyberg,Sverige
3357375,172 72,Sundbyberg,Sverige
3346117,172 76,Sundbyberg,Sverige
3358007,172 76,Sundbyberg,Sverige
3307656,174 46,Sundbyberg,Sverige
3113126,174 47,Sundbyberg,Sverige
3361740,174 50,Sundbyberg,Sverige
3432680,174 61,Sundbyberg,Sverige
3323145,175 43,Järfälla,Sverige
3381024,175 43,Järfälla,Sverige
3312862,175 43,Järfälla,Sverige
3397380,175 46,Järfälla,Sverige
3371847,175 47,Järfälla,Sverige
3382519,175 47,Järfälla,Sverige
3003739,175 48,Järfälla,Sverige
3356126,175 48,Järfälla,Sverige
3321503,175 48,Järfälla,Sverige
3464859,175 49,Järfälla,Sverige
3371751,175 49,Järfälla,Sverige
3346818,175 49,Järfälla,Sverige
3375551,175 50,Järfälla,Sverige
3003758,175 50,Järfälla,Sverige
3339588,175 52,Järfälla,Sverige
3317286,175 55,Järfälla,Sverige
3262849,175 57,Järfälla,Sverige
3334248,175 61,Järfälla,Sverige
3349185,175 64,Järfälla,Sverige
3329947,175 65,Järfälla,Sverige
3272534,175 69,Järfälla,Sverige
